d [mum],Vs [cm/s],Mass [mug],Re,CD
100,27,0.524,1.8,15
200,72,4.19,9.61,4.2
300,117,14.14,23.4,2.4
400,162,33.5,43.2,1.66
500,206,65.5,68.7,1.28
600,247,113.1,98.9,1.07
700,287,179.6,134,0.929
800,327,268,175,0.815
900,367,382,220,0.729
1000,403,524,269,0.671
1200,464,905,372,0.607
1400,517,1437,483,0.57
1600,565,2140,603,0.545
1800,609,3050,731,0.528
2000,649,4190,866,0.517
2200,690,5580,1013,0.504
2400,727,7240,1164,0.495
2600,757,9200,1313,0.494
2800,782,11490,1461,0.498
3000,806,14140,1613,0.503
3200,826,17160,1764,0.511
3400,844,20600,1915,0.52
3600,860,24400,2066,0.529
3800,872,28700,2211,0.544
4000,883,33500,2357,0.559
4200,892,38800,2500,0.575
4400,898,44600,2636,0.594
4600,903,51000,2772,0.615
4800,907,57900,2905,0.635
5000,909,65500,3033,0.66
5200,912,73600,3164,0.681
5400,914,82400,3293,0.7
5600,916,92000,3423,0.727
5800,917,102200,3549,0.751
